"","0-17","18-29","30-49","50-64","65-84","85+","Under Investigation"
"8/21","259","713","933","490","217","53","0"
"8/22","258","720","949","492","220","53","0"
"8/23","260","729","954","492","221","53","0"
"8/24","264","742","959","495","222","53","0"
"8/25","268","763","967","496","222","53"
"8/26","270","779","970","498","222","53"
"8/27","271","806","981","507","223","54"
"8/28","274","828","991","510","225","54","0"
"8/29","282","846","1007","525","229","54","0"
"8/30","282","858","1012","527","229","54","0"
"8/31","284","865","1017","532","229","54","0"
"9/1","286","876","1020","536","234","54"
"9/2","287","889","1026","541","236","55","1"
"9/3","288","903","1026","541","234","55"
