"Row Labels","Arroyo Grande","Atascadero","Grover Beach","Nipomo","Paso Robles","San Luis Obispo","Templeton","CMC (Inmates)"
"8/23","183","307","127","298","690","315","106","239"
"8/24","186","307","127","298","694","327","106","239"
"8/25","188","309","128","299","704","339","106","239"
"8/26","187","311","128","298","706","352","111"
"8/27","189","315","134","299","714","373","112","239"
"8/28","189","317","134","304","722","389","113","239"
"8/29","189","321","136","309","725","396","115","265"
"8/30","190","323","137","309","728","406","115","265"
"8/31","190","326","138","311","730","415","115","265"
"9/1","191","328","139","313","734","425","118","265"
"9/2","192","330","144","315","736","437","119","265"
"9/3","192","333","145","317","736","451","119","261"
"9/4","193","335","145","317","742","465","120","262"
"9/5","193","342","148","319","750","478","120","265"
"9/6","193","345","150","319","752","484","120","265"
"9/7","193","346","151","321","753","494","120","265"
"9/8","193","346","151","321","753","494","120","265"
"9/9","197","347","151","322","757","506","121","266"
"9/10","197","348","151","324","760","515","122","270"
"9/11","197","348","151","325","766","522","122","281"
"9/12","199","353","151","328","773","530","123","281"
"9/13","199","354","151","328","778","539","123","282"
"9/14","201","354","151","330","780","542","124","282"
"9/15","202","354","151","330","784","542","124","282"
